pkey,created_on,last_updated_on,version,batting_hand,style_batting,date_of_birth,place_of_birth,bowling_hand,style_bowling,bowling_type,country,fielding_pos,first_name,url_img,last_name,middle_name,playing_role,short_name,src_id,url_thumb
354,"2021-02-14 23:41:07",NULL,0,RIGHT,"Right Hand Bat",1994-10-01,,LEFT,"Left Arm Medium",MEDIUM,af,NULL,"Sayed Shirzad",,,,,"Sayed Shirzad",44995,
355,"2021-02-14 23:41:07",NULL,0,RIGHT,"Right Hand Bat",1997-12-30,,LEFT,"Left Arm Orthodox",OFF_SPIN,af,NULL,"Zia-ur-Rehman Akbar",,,,,"Zia-ur-Rehman Akbar",1159,
356,"2021-02-14 23:41:11",NULL,0,RIGHT,"Right Hand Bat",2000-08-15,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,af,NULL,"Qais Ahmad",,,,,"Qais Ahmad",45056,
357,"2021-02-14 23:41:11",NULL,0,RIGHT,"Right Hand Bat",2001-11-28,,NULL,,NULL,af,NULL,"Rahmanullah Gurbaz",,,,,"Rahmanullah Gurbaz",93570,
358,"2021-02-14 23:41:12",NULL,0,RIGHT,"Right Hand Bat",1992-09-13,,RIGHT,"Right Arm Medium",MEDIUM,ie,NULL,"Barry McCarthy",,,,,"BJ McCarthy",50495,
359,"2021-02-14 23:41:12",NULL,0,RIGHT,"Right Hand Bat",1999-12-06,,RIGHT,"Right Arm Off Break",OFF_SPIN,ie,NULL,"Harry Tector",,,,,"H Tector",1113,
360,"2021-02-14 23:41:12",NULL,0,NULL,,0002-11-30,,NULL,,NULL,ie,NULL,"Gareth Delany",,,,,"G Delany",94455,
361,"2021-02-14 23:41:12",NULL,0,RIGHT,"Right Hand Bat",2000-03-24,,RIGHT,"Right Arm Medium Fast",MEDIUM_FAST,af,NULL,"Azmatullah Omarzai",,,,,"Azmatullah Omarzai",93481,
362,"2021-02-14 23:41:13",NULL,0,RIGHT,"Right Hand Bat",1999-09-23,,RIGHT,"Right Arm Fast Medium",FAST_MEDIUM,af,NULL,"Naveen Ul Haq",,,,,"Naveen Ul Haq",1404,
363,"2021-02-14 23:41:13",NULL,0,RIGHT,"Right Hand Bat",1990-04-04,,RIGHT,"Right Arm Fast Medium",FAST_MEDIUM,ie,NULL,"Craig Young",,,,,"CA Young",1885,
364,"2021-02-14 23:41:14",NULL,0,RIGHT,"Right Hand Bat",1998-08-20,,NULL,,NULL,ie,NULL,"Stephen Doheny",,,,,"S Doheny",1108,
365,"2021-02-14 23:41:23",NULL,0,RIGHT,"Right Hand Bat",1985-03-13,,NULL,,NULL,wi,NULL,"Denesh Ramdin",,,,,"Denesh Ramdin",253,
366,"2021-02-14 23:41:23",NULL,0,LEFT,"Left hand Bat",1991-09-22,,LEFT,"Left Arm Orthodox",OFF_SPIN,wi,NULL,"Khary Pierre",,,,,"Khary Pierre",90899,
367,"2021-02-14 23:41:24",NULL,0,RIGHT,"Right Hand Bat",2001-12-12,,RIGHT,"Right Arm Medium Fast",MEDIUM_FAST,af,NULL,"Ibrahim Zadran",,,,,"Ibrahim Zadran",45172,
368,"2021-02-14 23:41:24",NULL,0,LEFT,"Left hand Bat",1992-04-23,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,wi,NULL,"Hayden Walsh",,,,,"Hayden Walsh",53748,
369,"2021-02-14 23:41:24",NULL,0,RIGHT,"Right Hand Bat",1992-07-25,,RIGHT,"Right Arm Medium Fast",MEDIUM_FAST,af,NULL,"Yamin Ahmadzai",,,,,"Yamin Ahmadzai",44955,
370,"2021-02-14 23:41:24",NULL,0,RIGHT,"Right Hand Bat",1990-01-17,,RIGHT,"Right Arm Fast Medium",FAST_MEDIUM,wi,NULL,"Kesrick Williams",,,,,"Kesrick Williams",59890,
371,"2021-02-14 23:41:25",NULL,0,RIGHT,"Right Hand Bat",1985-01-25,,RIGHT,"Right Arm Medium Fast",MEDIUM_FAST,wi,NULL,"Lendl Simmons",,,,,"Lendl Simmons",265,
372,"2021-02-14 23:41:25",NULL,0,RIGHT,"Right Hand Bat",1994-12-16,,NULL,,NULL,wi,NULL,"Brandon King",,,,,"Brandon King",53754,
373,"2021-02-14 23:41:25",NULL,0,RIGHT,"Right Hand Bat",1992-01-02,,RIGHT,"Right Arm Off Break",OFF_SPIN,af,NULL,"Javed Ahmadi",,,,,"Javed Ahmadi",309,
374,"2021-02-14 23:41:31",NULL,0,RIGHT,"Right Hand Bat",1993-11-10,,NULL,,NULL,wi,NULL,"Shai Hope",,,,,"Shai Hope",46943,
375,"2021-02-14 23:41:36",NULL,0,RIGHT,"Right Hand Bat",1996-09-20,,RIGHT,"Right Arm Fast",FAST,au,NULL,"Jhye Richardson",,,,,"Jhye Richardson",43631,
376,"2021-02-14 23:41:36",NULL,0,RIGHT,"Right Hand Bat",1991-02-12,,RIGHT,"Right Arm Fast Medium",FAST_MEDIUM,au,NULL,"Kane Richardson",,,,,"KW Richardson",43478,
377,"2021-02-14 23:41:36",NULL,0,LEFT,"Left hand Bat",1991-12-21,,LEFT,"Left Arm Orthodox",OFF_SPIN,au,NULL,"Nic Maddinson",,,,,"Nic Maddinson",830,
378,"2021-02-14 23:41:36",NULL,0,LEFT,"Left hand Bat",1993-12-29,,RIGHT,"Right Arm Off Break",OFF_SPIN,au,NULL,"Travis Head",,,,,"TM Head",43471,
379,"2021-02-14 23:41:37",NULL,0,RIGHT,"Right Hand Bat",1993-09-01,,RIGHT,"Right Arm Medium Fast",MEDIUM_FAST,au,NULL,"Jack Wildermuth",,,,,"Jack Wildermuth",53628,
380,"2021-02-14 23:41:37",NULL,0,LEFT,"Left hand Bat",1993-10-14,,LEFT,"Left Arm Orthodox",OFF_SPIN,au,NULL,"Ashton Agar",,,,,"AC Agar",1955,
381,"2021-02-14 23:41:37",NULL,0,RIGHT,"Right Hand Bat",1988-02-17,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,en,NULL,"Adil Rashid",,,,,"Adil Rashid",1933,
382,"2021-02-14 23:41:38",NULL,0,RIGHT,"Right Hand Bat",1990-12-30,,RIGHT,"Right Arm Off Break",OFF_SPIN,en,NULL,"Joe Root",,,,,"JE Root",99,
383,"2021-02-14 23:41:38",NULL,0,RIGHT,"Right Hand Bat",1993-10-04,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,au,NULL,"Mitchell Swepson",,,,,"Mitchell Swepson",43621,
384,"2021-02-14 23:41:38",NULL,0,RIGHT,"Right Hand Bat",1991-03-14,,RIGHT,"Right Arm Fast Medium",FAST_MEDIUM,en,NULL,"Jake Ball",,,,,"JT Ball",10606,
385,"2021-02-14 23:41:42",NULL,0,LEFT,"Left Hand Bat",1987-09-03,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,en,NULL,"Dawid Malan",,,,,"Dawid Malan",43358,
386,"2021-02-14 23:41:42",NULL,0,RIGHT,"Right Hand Bat",1987-11-20,,RIGHT,"Right Arm Off Break",OFF_SPIN,au,NULL,"Nathan Lyon",,,,,"Nathan Lyon",43459,
387,"2021-02-14 23:41:43",NULL,0,RIGHT,"Right Hand Bat",1992-02-29,,RIGHT,"Right Arm Fast Medium",FAST_MEDIUM,au,NULL,"Sean Abbott",,,,,"Sean Abbott",651,
388,"2021-02-14 23:41:43",NULL,0,RIGHT,"Right Hand Bat",1996-06-21,,RIGHT,"Right Arm Fast",FAST,au,NULL,"Riley Meredith",,,,,"Riley Meredith",93329,
389,"2021-02-14 23:41:43",NULL,0,RIGHT,"Right Hand Bat",1994-06-22,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,au,NULL,"Marnus Labuschagne",,,,,"Marnus Labuschagne",53601,
390,"2021-02-14 23:41:44",NULL,0,LEFT,"Left Hand Bat",1987-12-26,,NULL,,NULL,au,NULL,"Matthew Wade",,,,,"Matthew Wade",43522,
391,"2021-02-14 23:41:54",NULL,0,RIGHT,"Right Hand Bat",1979-04-29,,LEFT,"Left Arm Medium Fast",MEDIUM_FAST,in,NULL,"Ashish Nehra",,,,,"A Nehra",616,
392,"2021-02-14 23:41:54",NULL,0,RIGHT,"Right Hand Bat",1984-12-08,,RIGHT,"Right Arm Medium",MEDIUM,au,NULL,"Tim Paine",,,,,"TD Paine",43540,
393,"2021-02-14 23:42:01",NULL,0,RIGHT,"Right Hand Bat",1991-04-26,,NULL,,NULL,au,NULL,"Peter Handscomb",,,,,"PSP Handscomb",43491,
394,"2021-02-14 23:42:01",NULL,0,LEFT,"Left hand Bat",1986-12-18,,RIGHT,"Right Arm Medium",MEDIUM,au,NULL,"Usman Khawaja",,,,,"Usman Khawaja",1959,
395,"2021-02-14 23:42:02",NULL,0,LEFT,"Left Hand Bat",1983-07-09,,NULL,,NULL,au,NULL,"Shaun Marsh",,,,,"Shaun Marsh",739,
396,"2021-02-14 23:42:14",NULL,0,RIGHT,"Right Hand Bat",1994-10-21,,LEFT,"Left Arm Orthodox",OFF_SPIN,za,NULL,"Bjorn Fortuin",,,,,"BC Fortuin",46147,
397,"2021-02-14 23:42:14",NULL,0,RIGHT,"Right Hand Bat",1990-02-18,,LEFT,"Left Arm Wrist Spin",NULL,za,NULL,"Tabraiz Shamsi",,,,,"T Shamsi",46126,
398,"2021-02-14 23:42:15",NULL,0,RIGHT,"Right Hand Bat",1996-03-03,,RIGHT,"Right Arm Fast Medium",FAST_MEDIUM,za,NULL,"Andile Phehlukwayo",,,,,"Andile Phehlukwayo",53000,
399,"2021-02-14 23:42:15",NULL,0,RIGHT,"Right Hand Bat",1986-04-15,,RIGHT,"Right Arm Medium",MEDIUM,za,NULL,"Petrus van Biljon",,,,,"PJ van Biljon",52950,
400,"2021-02-14 23:42:15",NULL,0,RIGHT,"Right Hand Bat",1989-03-29,,RIGHT,"Right Arm Medium Fast",MEDIUM_FAST,za,NULL,"Dwaine Pretorius",,,,,"Dwaine Pretorius",90298,
401,"2021-02-14 23:42:15",NULL,0,RIGHT,"Right Hand Bat",1990-05-17,,RIGHT,"Right Arm Medium",MEDIUM,za,NULL,"Temba Bavuma",,,,,"T Bavuma",46139,
402,"2021-02-14 23:42:16",NULL,0,RIGHT,"Right Hand Bat",1989-02-07,,RIGHT,"Right Arm Off Break",OFF_SPIN,za,NULL,"Rassie Van Der Dussen",,,,,"Rassie Van Der Dussen",46135,
403,"2021-02-14 23:42:16",NULL,0,RIGHT,"Right Hand Bat",1988-09-21,,LEFT,"Left Arm Orthodox",OFF_SPIN,za,NULL,"JJ Smuts",,,,,"JT Smuts",52965,
404,"2021-02-14 23:42:19",NULL,0,RIGHT,"Right Hand Bat",1989-08-14,,RIGHT,"Right Arm Medium Fast",MEDIUM_FAST,za,NULL,"Reeza Hendricks",,,,,"RR Hendricks",49700,
405,"2021-02-14 23:42:24",NULL,0,RIGHT,"Right Hand Bat",1990-01-01,,RIGHT,"Right Arm Medium Fast",MEDIUM_FAST,bd,NULL,"Al-Amin Hossain",,,,,"Al-Amin Hossain",394,
406,"2021-02-14 23:42:24",NULL,0,LEFT,"Left hand Bat",1994-12-10,,RIGHT,"Right Arm Off Break",OFF_SPIN,bd,NULL,"Arafat Sunny jnr",,,,,"Mohammad Arafat",55389,
407,"2021-02-14 23:42:25",NULL,0,LEFT,"Left hand Bat",1999-09-22,,RIGHT,"Right Arm Off Break",OFF_SPIN,bd,NULL,"Afif Hossain",,,,,"Afif Hossain",90539,
408,"2021-02-14 23:42:25",NULL,0,LEFT,"Left hand Bat",1999-08-22,,NULL,,NULL,bd,NULL,"Naim Sheikh",,,,,"N Sheikh",63352,
409,"2021-02-14 23:42:25",NULL,0,RIGHT,"Right Hand Bat",1999-11-06,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,bd,NULL,"Aminul Islam",,,,,"Aminul Islam",93469,
410,"2021-02-14 23:42:25",NULL,0,RIGHT,"Right Hand Bat",1991-03-02,,NULL,,NULL,bd,NULL,"Mohammad Mithun",,,,,"M Mithun",1741,
411,"2021-02-14 23:42:26",NULL,0,LEFT,"Left hand Bat",1992-02-07,,LEFT,"Left Arm Orthodox",OFF_SPIN,bd,NULL,"Taijul Islam",,,,,"Taijul Islam",400,
412,"2021-02-14 23:42:26",NULL,0,RIGHT,"Right Hand Bat",1989-10-06,,RIGHT,"Right Arm Fast Medium",FAST_MEDIUM,bd,NULL,"Shafiul Islam",,,,,"Shafiul Islam",37422,
413,"2021-02-14 23:42:28",NULL,0,LEFT,"Left hand Bat",1987-02-02,,NULL,,NULL,bd,NULL,"Imrul Kayes",,,,,"Imrul Kayes",450,
414,"2021-02-14 23:42:29",NULL,0,LEFT,"Left hand Bat",1986-09-29,,LEFT,"Left Arm Orthodox",OFF_SPIN,bd,NULL,"Arafat Sunny",,,,,"Arafat Sunny",396,
415,"2021-02-14 23:42:36",NULL,0,RIGHT,"Right Hand Bat",1993-11-07,,RIGHT,"Right Arm Fast",FAST,pk,NULL,"Haris Rauf",,,,,"Haris Rauf",92381,
416,"2021-02-14 23:42:37",NULL,0,RIGHT,"Right Hand Bat",2000-08-28,,RIGHT,"Right Arm Medium Fast",MEDIUM_FAST,pk,NULL,"Muhammad Musa",,,,,"Muhammad Musa",93490,
417,"2021-02-14 23:42:37",NULL,0,RIGHT,"Right Hand Bat",1994-12-12,,RIGHT,"Right Arm Off Break",OFF_SPIN,bd,NULL,"Mahedi Hasan",,,,,"Mahedi Hasan",55142,
418,"2021-02-14 23:42:37",NULL,0,RIGHT,"Right Hand Bat",1995-05-10,,RIGHT,"Right Arm Fast",FAST,pk,NULL,"Amad Butt",,,,,"Amad Butt",60855,
419,"2021-02-14 23:42:37",NULL,0,RIGHT,"Right Hand Bat",1982-02-01,,RIGHT,"Right Arm Off Break",OFF_SPIN,pk,NULL,"Shoaib Malik",,,,,"S Malik",1754,
420,"2021-02-14 23:42:38",NULL,0,LEFT,"Left hand Bat",1998-05-25,,RIGHT,"Right Arm Off Break",OFF_SPIN,bd,NULL,"Nazmul Hossain Shanto",,,,,"Nazmul Hossain Shanto",1017,
421,"2021-02-14 23:42:38",NULL,0,RIGHT,"Right Hand Bat",1994-10-13,,NULL,,NULL,az,NULL,"Roy Singh",,,,,"Roy Singh",97090,
422,"2021-02-14 23:42:38",NULL,0,LEFT,"Left hand Bat",1988-12-18,,LEFT,"Left Arm Orthodox",OFF_SPIN,pk,NULL,"Imad Wasim",,,,,"IM Wasim",1773,
423,"2021-02-14 23:42:39",NULL,0,RIGHT,"Right Hand Bat",1993-12-10,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,pk,NULL,"Ahsan Ali",,,,,"Ahsan Ali",53322,
424,"2021-02-14 23:42:39",NULL,0,RIGHT,"Right Hand Bat",1990-09-03,,RIGHT,"Right Arm Off Break",OFF_SPIN,pk,NULL,"Iftikhar Ahmed",,,,,"Iftikhar Ahmed",1771,
425,"2021-02-14 23:42:39",NULL,0,LEFT,"Left hand Bat",1993-08-10,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,pk,NULL,"Usman Qadir",,,,,"Usman Qadir",53228,
426,"2021-02-14 23:42:39",NULL,0,RIGHT,"Right Hand Bat",1994-10-15,,RIGHT,"Right Arm Off Break",OFF_SPIN,pk,NULL,"Babar Azam",,,,,"Babar Azam",43371,
427,"2021-02-14 23:42:40",NULL,0,LEFT,"Left hand Bat",2000-04-06,,LEFT,"Left Arm Medium",MEDIUM,pk,NULL,"Shaheen Afridi",,,,,"S Afridi",92991,
428,"2021-02-14 23:42:40",NULL,0,RIGHT,"Right Hand Bat",2000-04-05,,RIGHT,"Right Arm Medium",MEDIUM,pk,NULL,"Mohammad Hasnain",,,,,"M Hasnain",94150,
429,"2021-02-14 23:42:40",NULL,0,RIGHT,"Right Hand Bat",1998-10-04,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,pk,NULL,"Shadab Khan",,,,,"SH Khan",1167,
430,"2021-02-14 23:42:41",NULL,0,RIGHT,"Right Hand Bat",1992-06-01,,NULL,,NULL,pk,NULL,"Mohammad Rizwan",,,,,"Mohammad Rizwan",44054,
431,"2021-02-14 23:42:41",NULL,0,LEFT,"Left hand Bat",1995-02-07,,NULL,,NULL,pk,NULL,"Khushdil Shah",,,,,"Khushdil Shah",45384,
432,"2021-02-14 23:42:41",NULL,0,RIGHT,"Right Hand Bat",1980-10-17,,RIGHT,"Right Arm Off Break",OFF_SPIN,pk,NULL,"Mohammad Hafeez",,,,,"Mohammad Hafeez",1748,
433,"2021-02-14 23:42:41",NULL,0,RIGHT,"Right Hand Bat",1999-10-12,,RIGHT,"Right Arm Medium",MEDIUM,bd,NULL,"Hasan Mahmud",,,,,"Hasan Mahmud",48591,
434,"2021-02-14 23:42:46",NULL,0,LEFT,"Left Hand Bat",1996-11-01,,RIGHT,"Right Arm Medium",MEDIUM,bd,NULL,"Mohammad Shaifuddin",,,,,"Mohammad Shaifuddin",1021,
435,"2021-02-14 23:42:47",NULL,0,RIGHT,"Right Hand Bat",1983-10-09,,RIGHT,"Right Arm Fast Medium",FAST_MEDIUM,za,NULL,"Farhaan Behardien",,,,,"F Behardien",171,
436,"2021-02-14 23:42:47",NULL,0,RIGHT,"Right Hand Bat",1969-04-14,,RIGHT,"Right Arm Medium",MEDIUM,bd,NULL,"Saiful Islam",,,,,"Saiful Islam",43436,
437,"2021-02-14 23:42:47",NULL,0,RIGHT,"Right Hand Bat",1991-11-30,,RIGHT,"Right Arm Off Break",OFF_SPIN,bd,NULL,"Nasir Hossain",,,,,"Nasir Hossain",398,
438,"2021-02-14 23:42:48",NULL,0,RIGHT,"Right Hand Bat",1984-01-21,,LEFT,"Left Arm Orthodox",OFF_SPIN,za,NULL,"Aaron Phangiso",,,,,"AM Phangiso",1951,
439,"2021-02-14 23:42:48",NULL,0,LEFT,"Left hand Bat",1991-09-29,,LEFT,"Left Arm Orthodox",OFF_SPIN,bd,NULL,"Mominul Haque",,,,,"Mominul Haque",356,
440,"2021-02-14 23:42:48",NULL,0,RIGHT,"Right Hand Bat",1984-09-27,,RIGHT,"Right Arm Medium",MEDIUM,za,NULL,"Robbie Frylinck",,,,,"R Frylinck",52994,
441,"2021-02-14 23:42:48",NULL,0,RIGHT,"Right Hand Bat",1990-04-24,,NULL,,NULL,za,NULL,"Mangaliso Mosehle",,,,,"M Mosehle",46121,
442,"2021-02-14 23:42:49",NULL,0,RIGHT,"Right Hand Bat",1983-03-31,,RIGHT,"Right Arm Off Break",OFF_SPIN,za,NULL,"Hashim Amla",,,,,"HM Amla",161,
443,"2021-02-14 23:42:49",NULL,0,RIGHT,"Right Hand Bat",1989-04-04,,RIGHT,"Right Arm Fast",FAST,za,NULL,"Dane Paterson",,,,,"D Paterson",49708,
444,"2021-02-14 23:42:49",NULL,0,LEFT,"Left hand Bat",1995-04-03,,RIGHT,"Right Arm Fast",FAST,bd,NULL,"Taskin Ahmed",,,,,"Taskin Ahmed",360,
445,"2021-02-14 23:42:49",NULL,0,RIGHT,"Right Hand Bat",1977-12-06,,RIGHT,"Right Arm Fast",FAST,za,NULL,"Dewald Pretorius",,,,,"Dewald Pretorius",52988,
446,"2021-02-14 23:42:55",NULL,0,RIGHT,"Right Hand Bat",1981-02-05,,RIGHT,"Right Arm Off Break",OFF_SPIN,wi,NULL,"Marlon Samuels",,,,,"MN Samuels",251,
447,"2021-02-14 23:42:56",NULL,0,RIGHT,"Right Hand Bat",1988-12-22,,RIGHT,"Right Arm Off Break",OFF_SPIN,wi,NULL,"Ashley Nurse",,,,,"Ashley Nurse",1975,
448,"2021-02-14 23:42:56",NULL,0,RIGHT,"Right Hand Bat",1985-07-03,,NULL,,NULL,wi,NULL,"Chadwick Walton",,,,,"CAK Walton",50098,
449,"2021-02-14 23:42:56",NULL,0,RIGHT,"Right Hand Bat",1987-11-28,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,wi,NULL,"Andre Fletcher",,,,,"ADS Fletcher",1971,
450,"2021-02-14 23:42:56",NULL,0,RIGHT,"Right Hand Bat",1993-07-23,,RIGHT,"Right Arm Medium Fast",MEDIUM_FAST,wi,NULL,"Rovman Powell",,,,,"Rovman Powell",55467,
451,"2021-02-14 23:42:57",NULL,0,RIGHT,"Right Hand Bat",1981-03-09,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,wi,NULL,"Samuel Badree",,,,,"S Badree",1941,
452,"2021-02-14 23:43:06",NULL,0,RIGHT,"Right Hand Bat",1999-01-31,,RIGHT,"Right Arm Off Break",OFF_SPIN,zw,NULL,"Tony Munyonga",,,,,"T Munyonga",94868,
453,"2021-02-14 23:43:06",NULL,0,RIGHT,"Right Hand Bat",1996-01-01,,LEFT,"Left Arm Orthodox",OFF_SPIN,zw,NULL,"Ainsley Ndlovu",,,,,"A Ndlovu",51142,
454,"2021-02-14 23:43:06",NULL,0,RIGHT,"Right Hand Bat",1990-12-21,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,zw,NULL,"Tinotenda Mutombodzi",,,,,"CT Mutombodzi",44141,
455,"2021-02-14 23:43:07",NULL,0,RIGHT,"Right Hand Bat",1988-04-19,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,zw,NULL,"Timycen Maruma",,,,,"T Maruma",44156,
456,"2021-02-14 23:43:07",NULL,0,RIGHT,"Right Hand Bat",1987-07-07,,RIGHT,"Right Arm Off Break",OFF_SPIN,bd,NULL,"Yasin Arafat",,,,,"Yasin Arafat",55152,
457,"2021-02-14 23:43:07",NULL,0,RIGHT,"Right Hand Bat",1985-11-27,,RIGHT,"Right Arm Fast Medium",FAST_MEDIUM,zw,NULL,"Chris Mpofu",,,,,"CB Mpofu",44118,
458,"2021-02-14 23:43:07",NULL,0,RIGHT,"Right Hand Bat",1987-09-20,,RIGHT,"Right Arm Off Break",OFF_SPIN,zw,NULL,"Regis Chakabva",,,,,"RW Chakabva",384,
459,"2021-02-14 23:43:08",NULL,0,LEFT,"Left hand Bat",1986-09-26,,LEFT,"Left Arm Orthodox",OFF_SPIN,zw,NULL,"Sean Williams",,,,,"SC Williams",189,
460,"2021-02-14 23:43:08",NULL,0,RIGHT,"Right Hand Bat",1989-06-11,,RIGHT,"Right Arm Off Break",OFF_SPIN,zw,NULL,"Richmond Mutumbami",,,,,"R Mutumbami",1806,
461,"2021-02-14 23:43:08",NULL,0,RIGHT,"Right Hand Bat",1991-08-02,,RIGHT,"Right Arm Medium Fast",MEDIUM_FAST,zw,NULL,"Neville Madziva",,,,,"N Madziva",44130,
462,"2021-02-14 23:43:11",NULL,0,RIGHT,"Right Hand Bat",1990-02-01,,RIGHT,"Right Arm Medium",MEDIUM,af,NULL,"Fazal Niazai",,,,,"Fazal Niazai",45036,
463,"2021-02-14 23:43:11",NULL,0,LEFT,"Left hand Bat",1999-02-06,,LEFT,"Left Arm Orthodox",OFF_SPIN,af,NULL,Shahidullah,,,,,Shahidullah,45053,
464,"2021-02-14 23:43:26",NULL,0,LEFT,"Left hand Bat",1993-05-05,,RIGHT,"Right Arm Off Break",OFF_SPIN,au,NULL,"Kurtis Patterson",,,,,"Kurtis Patterson",43610,
465,"2021-02-14 23:43:26",NULL,0,LEFT,"Left hand Bat",1989-02-16,,RIGHT,"Right Arm Medium",MEDIUM,au,NULL,"Daniel Hughes",,,,,"Daniel Hughes",90598,
466,"2021-02-14 23:43:27",NULL,0,RIGHT,"Right Hand Bat",1990-04-29,,LEFT,"Left Arm Medium Fast",MEDIUM_FAST,au,NULL,"James Faulkner",,,,,"James Faulkner",392,
467,"2021-02-14 23:43:27",NULL,0,RIGHT,"Right Hand Bat",1985-10-13,,NULL,,NULL,au,NULL,"Peter Nevill",,,,,"Peter Nevill",1961,
468,"2021-02-14 23:43:27",NULL,0,LEFT,"Left hand Bat",1993-06-14,,RIGHT,"Right Arm Fast Medium",FAST_MEDIUM,au,NULL,"Gurinder Sandhu",,,,,"Gurinder Sandhu",820,
469,"2021-02-14 23:43:28",NULL,0,RIGHT,"Right Hand Bat",1993-07-12,,RIGHT,"Right Arm Medium",MEDIUM,au,NULL,"Seb Gotch",,,,,"SE Gotch",55851,
470,"2021-02-14 23:43:28",NULL,0,RIGHT,"Right Hand Bat",1991-03-14,,RIGHT,"Right Arm Medium",MEDIUM,en,NULL,"James Vince",,,,,"JM Vince",1949,
471,"2021-02-14 23:43:28",NULL,0,RIGHT,"Right Hand Bat",1990-03-01,,LEFT,"Left Arm Orthodox",OFF_SPIN,en,NULL,"Liam Dawson",,,,,"LA Dawson",1945,
472,"2021-02-14 23:43:30",NULL,0,LEFT,"Left hand Bat",1987-06-26,,RIGHT,"Right Arm Off Break",OFF_SPIN,en,NULL,"Mark Stoneman",,,,,"MD Stoneman",49536,
473,"2021-02-14 23:43:30",NULL,0,RIGHT,"Right Hand Bat",1994-04-10,,RIGHT,"Right Arm Medium Fast",MEDIUM_FAST,en,NULL,"Craig Overton",,,,,"C Overton",49733,
474,"2021-02-14 23:43:31",NULL,0,LEFT,"Left hand Bat",1982-07-30,,RIGHT,"Right Arm Fast Medium",FAST_MEDIUM,en,NULL,"James Anderson",,,,,"James Anderson",113,
475,"2021-02-14 23:43:31",NULL,0,RIGHT,"Right Hand Bat",1993-02-15,,NULL,,NULL,en,NULL,"Ben Foakes",,,,,"BT Foakes",10598,
476,"2021-02-14 23:43:31",NULL,0,LEFT,"Left hand Bat",1989-11-22,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,en,NULL,"Gary Ballance",,,,,"GS Ballance",97,
477,"2021-02-14 23:43:31",NULL,0,LEFT,"Left hand Bat",1984-12-25,,RIGHT,"Right Arm Off Break",OFF_SPIN,en,NULL,"Alastair Cook",,,,,"AN Cook",49052,
478,"2021-02-14 23:43:32",NULL,0,RIGHT,"Right Hand Bat",1997-02-18,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,en,NULL,"Mason Crane",,,,,"MS Crane",1051,
479,"2021-02-14 23:43:32",NULL,0,LEFT,"Left hand Bat",1986-06-24,,RIGHT,"Right Arm Fast Medium",FAST_MEDIUM,en,NULL,"Stuart Broad",,,,,"Stuart Broad",109,
480,"2021-02-14 23:43:36",NULL,0,RIGHT,"Right Hand Bat",1984-02-21,,LEFT,"Left Arm Orthodox",OFF_SPIN,nz,NULL,"Anaru Kitchen",,,,,"AK Kitchen",16553,
481,"2021-02-14 23:43:36",NULL,0,RIGHT,"Right Hand Bat",1990-09-01,,RIGHT,"Right Arm Off Break",OFF_SPIN,nz,NULL,"Tom Blundell",,,,,"TA Blundell",16595,
482,"2021-02-14 23:43:36",NULL,0,RIGHT,"Right Hand Bat",1991-08-02,,RIGHT,"Right Arm Off Break",OFF_SPIN,nz,NULL,"Tom Bruce",,,,,"TC Bruce",16613,
483,"2021-02-14 23:43:36",NULL,0,RIGHT,"Right Hand Bat",1984-03-08,,RIGHT,"Right Arm Off Break",OFF_SPIN,nz,NULL,"Ross Taylor",,,,,"R Taylor",33,
484,"2021-02-14 23:43:37",NULL,0,LEFT,"Left hand Bat",1994-06-27,,LEFT,"Left Arm Orthodox",OFF_SPIN,nz,NULL,"Mark Chapman",,,,,"MS Chapman",1708,
485,"2021-02-14 23:43:37",NULL,0,RIGHT,"Right Hand Bat",1991-11-10,,LEFT,"Left Arm Medium Fast",MEDIUM_FAST,nz,NULL,"Ben Wheeler",,,,,"BM Wheeler",46291,
486,"2021-02-14 23:43:37",NULL,0,RIGHT,"Right Hand Bat",1987-08-23,,RIGHT,"Right Arm Medium",MEDIUM,nz,NULL,"Seth Rance",,,,,"SHA Rance",16548,
487,"2021-02-14 23:43:42",NULL,0,RIGHT,"Right Hand Bat",1997-09-17,,RIGHT,"Right Arm Medium",MEDIUM,nz,NULL,"Christian Leopard",,,,,"CK Leopard",1086,
